マスター,地名,センター,可燃ごみ,資源ごみ,埋立ごみ,プラスチックごみ
1,玉川,NULL,月 木,20190421 20190519 20190616 20190721 20190818 20190915 20191020 20191117 20191215 20200119 20200216 20200315,火2 火4,金
1,新宿,NULL,月 木,20190428 20190526 20190623 20190728 20190818 20190922 20191027 20191124 20191222 20200126 20200223 20200322,土2 土4,水
1,伏見A,NULL,月 木,20190407 20190505 20190602 20190707 20190804 20190901 20191013 20191103 20191208 20200105 20200202 20200301,土2 土4,水
1,伏見B,NULL,火 金,20190407 20190505 20190602 20190707 20190804 20190901 20191013 20191103 20191208 20200105 20200202 20200301,土2 土4,水
1,堂庭,NULL,火 金,20190407 20190505 20190602 20190707 20190804 20190901 20191006 20191103 20191201 20200105 20200202 20200301,月2 月4,木
1,久米田,NULL,月 木,20190407 20190505 20190602 20190714 20190804 20190901 20191013 20191103 20191208 20200105 20200202 20200301,火2 火4,金
2,戸畑,NULL,月 木,20190428 20190526 20190623 20190728 20190825 20190922 20191027 20191124 20191222 20200126 20200223 20200322,火2 火4,金
2,的場,NULL,月 木,20190421 20190519 20190616 20190721 20190818 20190915 20191020 20191117 20191215 20200119 20200216 20200315,火2 火4,金
2,湯川,NULL,月 木,20190421 20190519 20190616 20190721 20190818 20190915 20191020 20191117 20191215 20200119 20200216 20200315,火2 火4,金
2,上徳倉A,NULL,火 金,20190414 20190512 20190609 20190714 20190811 20190908 20191013 20191110 20191208 20200112 20200209 20200308,木2 木4,月
2,上徳倉B,NULL,火 金,20190414 20190512 20190609 20190714 20190811 20190908 20191013 20191110 20191208 20200112 20200209 20200308,木2 木4,月
2,下徳倉A,NULL,火 金,20190428 20190526 20190623 20190728 20190825 20190922 20191027 20191124 20191222 20200126 20200223 20200322,水2 水4,木
2,下徳倉B,NULL,火 金,20190428 20190526 20190623 20190728 20190825 20190922 20191027 20191124 20191222 20200126 20200223 20200322,水2 水4,木
2,中徳倉,NULL,月 木,20190428 20190526 20190623 20190728 20190818 20190929 20191027 20191124 20191222 20200126 20200223 20200322,金2 金4,火
2,外原,NULL,月 木,20190414 20190512 20190609 20190707 20190811 20190908 20191013 20191110 20191208 20200112 20200209 20200308,金2 金4,火
3,長沢A,NULL,月 木,20190421 20190519 20190616 20190721 20190818 20190915 20191020 20191117 20191215 20200119 20200216 20200315,水2 水4,土
3,長沢B,NULL,月 木,20190421 20190519 20190616 20190721 20190818 20190915 20191020 20191117 20191215 20200119 20200216 20200315,水2 水4,土
3,本長沢,NULL,月 木,20190414 20190512 20190609 20190714 20190811 20190908 20191013 20191110 20191208 20200112 20200209 20200308,水2 水4,土
3,八幡,NULL,火 金,20190407 20190505 20190602 20190707 20190804 20190901 20191006 20191103 20191201 20200105 20200202 20200301,水2 水4,土
3,柿田A,NULL,火 金,20190407 20190505 20190602 20190707 20190804 20190901 20191006 20191103 20191201 20200105 20200202 20200301,月2 月4,木
3,柿田B,NULL,火 金,20190407 20190505 20190602 20190707 20190804 20190901 20191006 20191103 20191201 20200105 20200202 20200301,月2 月4,木
